List,ListID,Content,ListNo,SentenceID,Sound1,Sound2,type,ExpAns
HINT,List 3,The milk is by the front door.,6,118,FAS_J2M-HINT-03-06.wav,FAS_E1M-HINT-03-06.wav,EJ,f
HINT,List 3,A broom was by the front door.,7,119,FAS_E1M-HINT-03-07.wav,FAS_J2M-HINT-03-07.wav,EJ,f
HINT,List 3,The new road was on the map.,8,120,FAS_J2M-HINT-03-08.wav,FAS_E1M-HINT-03-08.wav,EJ,f
HINT,List 3,She lost her credit card.,9,121,FAS_E5M-HINT-03-09.wav,FAS_J1M-HINT-03-09.wav,EJ,f
HINT,List 3,The team is playing well.,10,122,FAS_J1M-HINT-03-10.wav,FAS_E5M-HINT-03-10.wav,EJ,f
HINT,List 4,The little boy left home.,1,123,FAS_J1M-HINT-04-01.wav,FAS_E5M-HINT-04-01.wav,EJ,f
HINT,List 4,They're going out tonight.,2,124,FAS_E5M-HINT-04-02.wav,FAS_J1M-HINT-04-02.wav,EJ,f
HINT,List 4,The kitchen clock was wrong.,3,125,FAS_J2M-HINT-04-03.wav,FAS_E5M-HINT-04-03.wav,EJ,f
HINT,List 4,He wore his yellow shirt.,4,126,FAS_J2M-HINT-04-04.wav,FAS_E5M-HINT-04-04.wav,EJ,f
HINT,List 4,They finished dinner on time.,5,127,FAS_J2M-HINT-04-05.wav,FAS_E5M-HINT-04-05.wav,EJ,f
HINT,List 4,He needs his vacation.,6,128,FAS_E5M-HINT-04-06.wav,FAS_J2M-HINT-04-06.wav,EJ,f
HINT,List 4,She's washing her new silk dress.,7,129,FAS_K7M-HINT-04-07.wav,FAS_E1M-HINT-04-07.wav,EK,f
HINT,List 4,The cat drank from a saucer.,8,130,FAS_E1M-HINT-04-08.wav,FAS_K7M-HINT-04-08.wav,EK,f
HINT,List 4,The police cleared the road.,9,131,FAS_K7M-HINT-04-09.wav,FAS_E1M-HINT-04-09.wav,EK,f
HINT,List 4,The lady packed her bag.,10,132,FAS_K7M-HINT-04-10.wav,FAS_E1M-HINT-04-10.wav,EK,f
HINT,List 6,The woman cleaned her house.,16,133,FAS_E1M-BKBR-06-16.wav,FAS_K9M-BKBR-06-16.wav,EK,f
HINT,List 5,They took some food outside.,2,134,FAS_E1M-HINT-05-02.wav,FAS_K9M-HINT-05-02.wav,EK,f
HINT,List 5,The young people were dancing.,3,135,FAS_K9M-HINT-05-03.wav,FAS_E1M-HINT-05-03.wav,EK,f
HINT,List 5,The grocer sells butter.,4,136,FAS_K9M-HINT-05-04.wav,FAS_E1M-HINT-05-04.wav,EK,f
HINT,List 5,The shirts are in the closet.,5,137,FAS_K7M-HINT-05-05.wav,FAS_E5M-HINT-05-05.wav,EK,f
HINT,List 5,They watched a scary movie.,6,138,FAS_K7M-HINT-05-06.wav,FAS_E5M-HINT-05-06.wav,EK,f
HINT,List 5,A tree fell on the house.,7,139,FAS_K7M-HINT-05-07.wav,FAS_E5M-HINT-05-07.wav,EK,f
HINT,List 5,They went on vacation.,8,140,FAS_K7M-HINT-05-08.wav,FAS_E5M-HINT-05-08.wav,EK,f
HINT,List 5,The girl was fixing her dress.,9,141,FAS_E5M-HINT-05-09.wav,FAS_K9M-HINT-05-09.wav,EK,f
HINT,List 5,The baby broke his cup.,10,142,FAS_E5M-HINT-05-10.wav,FAS_K9M-HINT-05-10.wav,EK,f
BKB,List 7,The children dropped the bag.,1,143,FAS_K9M-BKBR-07-01.wav,FAS_E5M-BKBR-07-01.wav,EK,f
HINT,List 6,The dishcloth is soaking wet.,2,144,FAS_K9M-HINT-06-02.wav,FAS_E5M-HINT-06-02.wav,EK,f
HINT,List 6,They had some chocolate pudding.,3,145,FAS_J1M-HINT-06-03.wav,FAS_M1M-HINT-06-03.wav,MJ,f
HINT,List 6,The bus stopped suddenly.,4,146,FAS_J1M-HINT-06-04.wav,FAS_M1M-HINT-06-04.wav,MJ,f
HINT,List 6,The oven door is open.,5,147,FAS_M1M-HINT-06-05.wav,FAS_J1M-HINT-06-05.wav,MJ,f
HINT,List 6,She's paying for her bread.,6,148,FAS_J1M-HINT-06-06.wav,FAS_M1M-HINT-06-06.wav,MJ,f
HINT,List 6,The dinner plate was hot.,7,149,FAS_J2M-HINT-06-07.wav,FAS_M1M-HINT-06-07.wav,MJ,f
HINT,List 6,He broke his leg again.,8,150,FAS_J2M-HINT-06-08.wav,FAS_M1M-HINT-06-08.wav,MJ,f
BKB,List 7,The dog came back.,2,151,FAS_J2M-BKBR-07-02.wav,FAS_M1M-BKBR-07-02.wav,MJ,f
HINT,List 6,The baby has blue eyes.,10,152,FAS_M1M-HINT-06-10.wav,FAS_J2M-HINT-06-10.wav,MJ,f
HINT,List 7,School got out early today.,1,153,FAS_M5M-HINT-07-01.wav,FAS_J1M-HINT-07-01.wav,MJ,f
HINT,List 7,They're running past the house.,2,154,FAS_M5M-HINT-07-02.wav,FAS_J1M-HINT-07-02.wav,MJ,f
HINT,List 7,The boy ran away from school.,3,155,FAS_M5M-HINT-07-03.wav,FAS_J1M-HINT-07-03.wav,MJ,f
HINT,List 7,Sugar is very sweet.,4,156,FAS_J1M-HINT-07-04.wav,FAS_M5M-HINT-07-04.wav,MJ,f
HINT,List 7,The two children were laughing.,5,157,FAS_M5M-HINT-07-05.wav,FAS_J2M-HINT-07-05.wav,MJ,f
HINT,List 7,A fire truck is coming.,6,158,FAS_J2M-HINT-07-06.wav,FAS_M5M-HINT-07-06.wav,MJ,f
HINT,List 7,He is washing his car.,7,159,FAS_J2M-HINT-07-07.wav,FAS_M5M-HINT-07-07.wav,MJ,f
HINT,List 7,She found her purse in the trash.,8,160,FAS_M5M-HINT-07-08.wav,FAS_J2M-HINT-07-08.wav,MJ,f
HINT,List 7,A ball broke the window.,9,161,FAS_K7M-HINT-07-09.wav,FAS_M1M-HINT-07-09.wav,MK,f
BKB,List 7,The fruit is on the ground.,5,162,FAS_M1M-BKBR-07-05.wav,FAS_K7M-BKBR-07-05.wav,MK,f
HINT,List 8,The neighbor's boy has black hair.,1,163,FAS_K7M-HINT-08-01.wav,FAS_M1M-HINT-08-01.wav,MK,f
HINT,List 8,The rain came pouring down.,2,164,FAS_M1M-HINT-08-02.wav,FAS_K7M-HINT-08-02.wav,MK,f
HINT,List 8,The dog came home at last.,3,165,FAS_K9M-HINT-08-03.wav,FAS_M1M-HINT-08-03.wav,MK,f
HINT,List 8,They're clearing the table.,4,166,FAS_M1M-HINT-08-04.wav,FAS_K9M-HINT-08-04.wav,MK,f
HINT,List 6,The broom stood in the corner.,15,167,FAS_K9M-BKBR-06-15.wav,FAS_M1M-BKBR-06-15.wav,MK,f
HINT,List 8,Her sister stayed for lunch.,6,168,FAS_K9M-HINT-08-06.wav,FAS_M1M-HINT-08-06.wav,MK,f
HINT,List 8,The train is moving fast.,7,169,FAS_K7M-HINT-08-07.wav,FAS_M5M-HINT-08-07.wav,MK,f
HINT,List 8,Mother shut the window.,8,170,FAS_K7M-HINT-08-08.wav,FAS_M5M-HINT-08-08.wav,MK,f
HINT,List 8,The bottle is on the shelf.,9,171,FAS_K7M-HINT-08-09.wav,FAS_M5M-HINT-08-09.wav,MK,f
HINT,List 8,The road goes up the hill.,10,172,FAS_M5M-HINT-08-10.wav,FAS_K7M-HINT-08-10.wav,MK,f
HINT,List 9,They have two empty bottles.,1,173,FAS_K9M-HINT-09-01.wav,FAS_M5M-HINT-09-01.wav,MK,f
HINT,List 9,The woman cleaned her house.,2,174,FAS_K9M-HINT-09-02.wav,FAS_M5M-HINT-09-02.wav,MK,f
HINT,List 9,The sharp knife was dangerous.,3,175,FAS_M5M-HINT-09-03.wav,FAS_K9M-HINT-09-03.wav,MK,f
HINT,List 9,A child ripped open the bag.,4,176,FAS_K9M-HINT-09-04.wav,FAS_M5M-HINT-09-04.wav,MK,f
HINT,List 9,The kitchen window is clean.,5,177,FAS_J1M-HINT-09-05.wav,FAS_K7M-HINT-09-05.wav,JK,f
HINT,List 9,She's helping her friend move.,6,178,FAS_K7M-HINT-09-06.wav,FAS_J1M-HINT-09-06.wav,JK,f
HINT,List 9,They ate a lemon pie.,7,179,FAS_J1M-HINT-09-07.wav,FAS_K7M-HINT-09-07.wav,JK,f
HINT,List 9,Father forgot the bread.,8,180,FAS_K7M-HINT-09-08.wav,FAS_J1M-HINT-09-08.wav,JK,f
BKB,List 7,Mother got a saucepan.,6,181,FAS_J1M-BKBR-07-06.wav,FAS_K9M-BKBR-07-06.wav,JK,f
HINT,List 9,The little girl was happy.,10,182,FAS_K9M-HINT-09-10.wav,FAS_J1M-HINT-09-10.wav,JK,f
HINT,List 10,The house has nine bedrooms.,1,183,FAS_K9M-HINT-10-01.wav,FAS_J1M-HINT-10-01.wav,JK,f
HINT,List 10,They're shopping for school clothes.,2,184,FAS_J1M-HINT-10-02.wav,FAS_K9M-HINT-10-02.wav,JK,f
HINT,List 10,They're playing in a park.,3,185,FAS_K7M-HINT-10-03.wav,FAS_J2M-HINT-10-03.wav,JK,f
HINT,List 10,She took off her fur coat.,4,186,FAS_J2M-HINT-10-04.wav,FAS_K7M-HINT-10-04.wav,JK,f
HINT,List 10,They are coming for dinner.,5,187,FAS_K7M-HINT-10-05.wav,FAS_J2M-HINT-10-05.wav,JK,f
HINT,List 10,A child drank some fresh milk.,6,188,FAS_J2M-HINT-10-06.wav,FAS_K7M-HINT-10-06.wav,JK,f
HINT,List 10,The baby slept all night.,7,189,FAS_K9M-HINT-10-07.wav,FAS_J2M-HINT-10-07.wav,JK,f
HINT,List 10,The table has three legs.,8,190,FAS_K9M-HINT-10-08.wav,FAS_J2M-HINT-10-08.wav,JK,f
HINT,List 10,The policeman knows the way.,9,191,FAS_J2M-HINT-10-09.wav,FAS_K9M-HINT-10-09.wav,JK,f
HINT,List 10,There was a bad train wreck.,10,192,FAS_K9M-HINT-10-10.wav,FAS_J2M-HINT-10-10.wav,JK,f
